YEAR,MONTH,DATE,FISHING_SEASON,SITE,SWATH_START,SWATH_END,TRAPS,OBSERVER,NOTES
2012,10,10/20/12,2012-2013,GOLB,119 48.900,119 48.850,4,9,
2012,10,10/20/12,2012-2013,GOLB,119 48.950,119 48.900,8,9,
2012,10,10/20/12,2012-2013,GOLB,119 49.000,119 48.950,6,9,
2012,10,10/20/12,2012-2013,GOLB,119 49.050,119 49.000,11,9,
2012,10,10/20/12,2012-2013,GOLB,119 49.100,119 49.050,13,9,
2012,10,10/20/12,2012-2013,GOLB,119 49.150,119 49.100,12,9,
2012,10,10/20/12,2012-2013,GOLB,119 49.200,119 49.150,11,9,
2012,10,10/20/12,2012-2013,GOLB,119 49.250,119 49.200,10,9,
2012,10,10/20/12,2012-2013,GOLB,119 49.300,119 49.250,13,9,
2012,10,10/20/12,2012-2013,GOLB,119 49.350,119 49.300,10,9,
2012,10,10/20/12,2012-2013,GOLB,119 49.400,119 49.350,11,9,
2012,10,10/20/12,2012-2013,GOLB,119 49.450,119 49.400,6,9,
2012,10,10/20/12,2012-2013,GOLB,119 49.500,119 49.450,8,9,
2012,10,10/20/12,2012-2013,GOLB,119 49.550,119 49.500,0,9,
2012,10,10/20/12,2012-2013,GOLB,119 49.600,119 49.550,0,9,
2012,10,10/20/12,2012-2013,GOLB,119 49.650,119 49.600,0,9,
2012,10,10/20/12,2012-2013,GOLB,119 49.700,119 49.650,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.100,119 51.050,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.150,119 51.100,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.200,119 51.150,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.250,119 51.200,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.300,119 51.250,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.350,119 51.300,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.400,119 51.350,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.450,119 51.400,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.500,119 51.450,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.550,119 51.500,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.600,119 51.550,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.650,119 51.600,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.700,119 51.650,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.750,119 51.700,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.800,119 51.750,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.850,119 51.800,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.900,119 51.850,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 51.950,119 51.900,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 52.000,119 51.950,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 52.050,119 52.000,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 52.100,119 52.050,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 52.150,119 52.100,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 52.200,119 52.150,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 52.250,119 52.200,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 52.300,119 52.250,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 52.350,119 52.300,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 52.400,119 52.350,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 52.450,119 52.400,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 52.500,119 52.450,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 52.550,119 52.500,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 52.600,119 52.550,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 52.650,119 52.600,0,9,
2012,10,10/20/12,2012-2013,IVEE,119 52.700,119 52.650,0,9,
2012,10,10/20/12,2012-2013,NAPL,119 56.950,119 56.900,0,36,
2012,10,10/20/12,2012-2013,NAPL,119 57.000,119 56.950,0,36,
2012,10,10/20/12,2012-2013,NAPL,119 57.050,119 57.000,0,36,
2012,10,10/20/12,2012-2013,NAPL,119 57.100,119 57.050,0,36,
2012,10,10/20/12,2012-2013,NAPL,119 57.150,119 57.100,0,36,
2012,10,10/20/12,2012-2013,NAPL,119 57.200,119 57.150,0,36,
2012,10,10/20/12,2012-2013,NAPL,119 57.250,119 57.200,0,36,
2012,10,10/20/12,2012-2013,NAPL,119 57.300,119 57.250,0,36,
2012,10,10/20/12,2012-2013,NAPL,119 57.350,119 57.300,0,36,
2012,10,10/20/12,2012-2013,AQUE,120 06.900,120 06.850,2,9,
2012,10,10/20/12,2012-2013,AQUE,120 06.950,120 06.900,4,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.000,120 06.950,6,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.050,120 07.000,5,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.100,120 07.050,8,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.150,120 07.100,1,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.200,120 07.150,4,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.250,120 07.200,5,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.300,120 07.250,7,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.350,120 07.300,7,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.400,120 07.350,6,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.450,120 07.400,7,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.500,120 07.450,4,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.550,120 07.500,9,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.600,120 07.550,2,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.650,120 07.600,2,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.700,120 07.650,4,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.750,120 07.700,4,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.800,120 07.750,7,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.850,120 07.800,6,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.900,120 07.850,1,9,
2012,10,10/20/12,2012-2013,AQUE,120 07.950,120 07.900,0,9,
2012,10,10/20/12,2012-2013,AHND to AQUE,120 08.250,120 08.200,1,9,
2012,10,10/20/12,2012-2013,AHND,120 08.300,120 08.250,1,9,
2012,10,10/20/12,2012-2013,AHND,120 08.350,120 08.300,0,9,
2012,10,10/20/12,2012-2013,AHND,120 08.400,120 08.350,0,9,
2012,10,10/20/12,2012-2013,AHND,120 08.450,120 08.400,2,9,
2012,10,10/20/12,2012-2013,AHND,120 08.500,120 08.450,3,9,
2012,10,10/20/12,2012-2013,AHND,120 08.550,120 08.500,0,9,
2012,10,10/20/12,2012-2013,AHND,120 08.600,120 08.550,0,9,
2012,10,10/20/12,2012-2013,AHND,120 08.650,120 08.600,0,9,
2012,10,10/20/12,2012-2013,AHND,120 08.700,120 08.650,0,9,
2012,10,10/20/12,2012-2013,AHND,120 08.750,120 08.700,0,9,
2012,10,10/20/12,2012-2013,AHND,120 08.800,120 08.750,3,9,
2012,10,10/20/12,2012-2013,AHND,120 08.850,120 08.800,2,9,
2012,10,10/20/12,2012-2013,AHND,120 08.900,120 08.850,3,9,
2012,10,10/20/12,2012-2013,AHND,120 08.950,120 08.900,1,9,
2012,11,11/2/12,2012-2013,CARP,119 31.850,119 31.800,0,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 31.900,119 31.850,0,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 31.950,119 31.900,3,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 32.000,119 31.950,5,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 32.050,119 32.000,8,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 32.100,119 32.050,17,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 32.150,119 32.100,12,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 32.200,119 32.150,12,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 32.250,119 32.200,9,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 32.300,119 32.250,14,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 32.350,119 32.300,8,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 32.400,119 32.350,6,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 32.450,119 32.400,5,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 32.500,119 32.450,5,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 32.550,119 32.500,5,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 32.600,119 32.550,13,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 32.650,119 32.600,7,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 32.700,119 32.650,10,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 32.750,119 32.700,7,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,CARP,119 32.800,119 32.750,10,36,collected on 11/1/12
2012,11,11/2/12,2012-2013,MOHK,119 43.700,119 43.650,12,9,
2012,11,11/2/12,2012-2013,MOHK,119 43.750,119 43.700,13,9,
2012,11,11/2/12,2012-2013,MOHK,119 43.800,119 43.750,12,9,
2012,11,11/2/12,2012-2013,MOHK,119 43.850,119 43.800,15,9,
2012,11,11/2/12,2012-2013,MOHK,119 43.900,119 43.850,10,9,
2012,11,11/2/12,2012-2013,MOHK,119 43.950,119 43.900,9,9,
2012,11,11/2/12,2012-2013,MOHK,119 44.000,119 43.950,9,9,
2012,11,11/2/12,2012-2013,MOHK,119 44.050,119 44.000,7,9,
2012,11,11/2/12,2012-2013,MOHK,119 44.100,119 44.050,10,9,
2012,11,11/2/12,2012-2013,MOHK,119 44.150,119 44.100,9,9,
2012,11,11/2/12,2012-2013,MOHK,119 44.200,119 44.150,15,9,
2012,11,11/2/12,2012-2013,MOHK,119 44.250,119 44.200,19,9,
2012,11,11/2/12,2012-2013,ABUR,119 44.300,119 44.250,16,9,
2012,11,11/2/12,2012-2013,ABUR,119 44.350,119 44.300,9,9,
2012,11,11/2/12,2012-2013,ABUR,119 44.400,119 44.350,14,9,
2012,11,11/2/12,2012-2013,ABUR,119 44.450,119 44.400,10,9,
2012,11,11/2/12,2012-2013,ABUR,119 44.500,119 44.450,8,9,
2012,11,11/2/12,2012-2013,ABUR,119 44.550,119 44.500,6,9,
2012,11,11/2/12,2012-2013,ABUR,119 44.600,119 44.550,1,9,
2012,11,11/2/12,2012-2013,ABUR,119 44.650,119 44.600,4,9,
2012,11,11/2/12,2012-2013,ABUR,119 44.700,119 44.650,12,9,
2012,11,11/2/12,2012-2013,ABUR,119 44.750,119 44.700,8,9,
2012,11,11/2/12,2012-2013,ABUR,119 44.800,119 44.750,12,9,
2012,11,11/2/12,2012-2013,ABUR,119 44.850,119 44.800,9,9,
2012,11,11/2/12,2012-2013,ABUR,119 44.900,119 44.850,12,9,
2012,11,11/2/12,2012-2013,ABUR,119 44.950,119 44.900,5,9,
2012,11,11/2/12,2012-2013,GOLB,119 48.700,119 48.650,10,9,
2012,11,11/2/12,2012-2013,GOLB,119 48.750,119 48.700,10,9,
2012,11,11/2/12,2012-2013,GOLB,119 48.800,119 48.750,7,9,
2012,11,11/2/12,2012-2013,GOLB,119 48.850,119 48.800,7,9,
2012,11,11/2/12,2012-2013,GOLB,119 48.900,119 48.850,4,9,
2012,11,11/2/12,2012-2013,GOLB,119 48.950,119 48.900,4,9,
2012,11,11/2/12,2012-2013,GOLB,119 49.000,119 48.950,5,9,
2012,11,11/2/12,2012-2013,GOLB,119 49.050,119 49.000,9,9,
2012,11,11/2/12,2012-2013,GOLB,119 49.100,119 49.050,4,9,
2012,11,11/2/12,2012-2013,GOLB,119 49.150,119 49.100,11,9,
2012,11,11/2/12,2012-2013,GOLB,119 49.200,119 49.150,6,9,all traps in deep water
2012,11,11/2/12,2012-2013,GOLB,119 49.250,119 49.200,13,9,most traps in deep water
2012,11,11/2/12,2012-2013,GOLB,119 49.300,119 49.250,8,9,most traps in deep water
2012,11,11/2/12,2012-2013,GOLB,119 49.350,119 49.300,11,9,most traps in deep water
2012,11,11/2/12,2012-2013,GOLB,119 49.400,119 49.350,4,9,
2012,11,11/2/12,2012-2013,GOLB,119 49.450,119 49.400,2,9,
2012,11,11/2/12,2012-2013,GOLB,119 49.500,119 49.450,5,9,
